gnbid,type,timestamp,MM5G_NULL,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING
0000000000,1,1686749726955500500,0.118528,0.119808,0.989696,92.80384,244.631808,266.203136
0000000001,1,1686749727955695900,0.102144,0.103424,0.727552,21.86624,91.7568,112.73728
0000000002,1,1686749728955887900,0.041984,0.042752,0.540928,23.423744,89.66912,110.706432
0000000003,1,1686749729956143400,0.04096,0.041984,0.455936,18.672128,81.629184,102.869504
0000000004,1,1686749730956343000,0.040192,0.04096,2.206976,22.845184,88.81792,109.974272
0000000005,1,1686749731956620000,0.06784,0.068864,0.686848,27.871232,84.82688,106.020096
0000000006,1,1686749732956867300,0.04608,0.046848,0.626176,23.666688,85.601792,106.555648
0000000007,1,1686749733957118200,0.045824,0.047104,2.481664,26.167296,97.570048,118.78144
0000000100,1,1686749734184685300,0.05248,0.054016,0.837376,20.982016,103.47904,125.035776
0000000008,1,1686749734957368800,0.056832,0.0576,0.580352,19.127552,76.95232,98.194176
0000000101,1,1686749735184825300,0.053248,0.054272,0.799232,24.93696,95.491072,116.538368
0000000009,1,1686749735957610800,0.045824,0.047104,0.518144,18.014976,83.065344,104.101376
0000000102,1,1686749736185074200,0.052224,0.053248,0.564736,17.041664,70.762496,91.902464
0000000010,1,1686749736957870800,0.042752,0.04352,0.751616,19.375872,71.55712,92.570624
0000000103,1,1686749737185235700,0.077056,0.081408,0.475392,18.425856,84.17152,105.223168
0000000011,1,1686749737957995500,0.047872,0.048896,0.677376,18.302464,83.265024,104.527104
0000000104,1,1686749738185394000,0.040448,0.04224,0.618752,19.59296,70.689792,91.826432
0000000012,1,1686749738958188000,0.044032,0.045056,0.4864,20.214784,80.402176,101.650688
0000000105,1,1686749739185773600,0.064768,0.066048,0.715264,22.24896,86.907648,107.997696
0000000200,1,1686749739708564000,0.076544,0.077824,0.889088,17.265152,84.573696,106.037504
0000000013,1,1686749739958312000,0.114944,0.119296,1.097472,23.557632,96.853248,118.093056
0000000106,1,1686749740186046000,0.040704,0.041728,0.534272,22.211072,86.8096,107.875328
0000000201,1,1686749740708781300,0.034816,0.03584,0.574976,17.763584,72.986624,94.24384
0000000014,1,1686749740958588700,0.043776,0.045056,0.435712,16.939008,73.218304,94.035456
0000000107,1,1686749741186389200,0.058624,0.059648,0.483584,28.773632,86.546176,107.864832
0000000202,1,1686749741709115600,0.036864,0.038144,0.603392,21.222656,93.059072,114.236416
0000000015,1,1686749741958804200,0.052736,0.05376,0.446976,27.194368,99.984896,121.156096
0000000108,1,1686749742186592300,0.043776,0.045056,0.580352,20.087552,84.738048,105.887744
0000000203,1,1686749742709330200,0.050432,0.0512,0.605184,21.43744,78.310144,99.54816
0000000016,1,1686749742959052300,0.07424,0.079616,0.538624,31.23328,83.001088,104.119808
0000000109,1,1686749743186781000,0.043776,0.0448,0.700672,20.911104,77.772288,98.9888
0000000204,1,1686749743709503200,0.044544,0.045312,2.444032,23.961088,89.10592,110.181632
0000000017,1,1686749743959307000,0.044544,0.045568,0.718592,15.0848,66.247424,87.506432
0000000110,1,1686749744187060000,0.048128,0.055552,0.562688,17.820928,71.382528,92.501504
0000000300,1,1686749744446179800,0.059648,0.060672,0.982784,16.421632,68.900608,90.176
0000000205,1,1686749744709796000,0.05376,0.054784,0.934656,16.232704,62.728192,83.942656
0000000018,1,1686749744959404500,0.03968,0.040448,0.519936,14.401536,67.988736,89.13408
0000000111,1,1686749745187282000,0.045824,0.047104,0.534784,17.117696,74.418432,95.4688
0000000301,1,1686749745446339800,0.04096,0.041984,0.562688,21.342208,88.064256,109.061632
0000000206,1,1686749745709819100,0.046592,0.047872,0.504832,20.688384,71.5136,92.752128
0000000019,1,1686749745959789000,0.04736,0.048896,0.526336,18.115584,69.100032,90.338304
0000000112,1,1686749746187472000,0.045312,0.046592,1.530368,17.927424,67.400192,88.366592
