gnbid,type,timestamp,MM5G_NULL,MM5G_DEREGISTERED,SM5G_PDU_SESSION_INACTIVE,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING
0000000000,1,1686425913554204200,0.056064,0.681728,0.057344,26.420992,86.638848,108.044288
0000000001,1,1686425913754322400,0.039424,0.544768,0.040448,109.13536,177.181184,198.307072
0000000002,1,1686425913954462200,0.026624,0.421376,0.027392,204.361728,297.191424,320.34432
0000000003,1,1686425914154689000,0.041216,2.339584,0.041984,22.231296,132.4736,153.502208
0000000004,1,1686425914354919000,0.039424,2.070528,0.040448,155.903488,221.461248,242.808064
0000000005,1,1686425914555068000,0.037376,0.356352,0.038144,32.806912,100.107008,121.07392
0000000006,1,1686425914755255000,0.040448,0.521728,0.041472,125.750016,192.928768,214.163456
0000000007,1,1686425914955367400,0.024832,0.475904,0.0256,222.953984,299.7696,320.884736
0000000008,1,1686425915155546000,0.034048,0.698112,0.03456,25.074176,132.930304,155.878912
0000000009,1,1686425915355676400,0.018176,0.452864,0.018688,154.690304,216.917504,238.166016
0000000010,1,1686425915555973600,0.040448,2.239232,0.041472,31.579392,94.107136,115.177472
0000000011,1,1686425915756148000,0.044544,0.584448,0.045568,120.1792,187.378944,208.4352
0000000012,1,1686425915956309500,0.052224,0.626432,0.053248,205.497344,295.351808,316.626176
0000000013,1,1686425916156839200,0.04352,1.362432,0.044544,19.028992,133.712896,154.806784
0000000014,1,1686425916356972800,0.040448,0.41216,0.041216,149.481216,206.668032,227.738624
0000000015,1,1686425916557128200,0.025088,0.274944,0.025344,15.190784,79.624192,100.732672
0000000016,1,1686425916757210400,0.042752,0.506368,0.044032,106.973184,174.040576,195.108864
0000000017,1,1686425916957390300,0.032512,0.539136,0.03328,197.568512,267.252224,288.018432
0000000018,1,1686425917157571000,0.031744,0.506368,0.032768,31.942144,123.469824,144.444928
